[0.4069815, -0.9999999]
[0.407253, -1.0]
[0.40742663, -1.0]
[0.40742338, -1.0]
[0.40701264, -0.99999994]
[0.406106, -1.0]
[0.40572214, -1.0]
[0.4061168, -0.99999994]
[0.40687835, -1.0]
[0.40660456, -0.99999994]
[0.40578216, -0.9999999]
[0.40623495, -1.0]
[0.40614328, -1.0]
[0.40574163, -1.0000001]
[0.4058001, -1.0]
[0.40514338, -1.0]
[0.4057105, -1.0000002]
[0.40582654, -1.0]
[0.4051599, -1.0]
[0.40566972, -0.99999994]
[0.4054386, -1.0]
[0.4050967, -0.99999994]
[0.4054017, -1.0]
[0.4056639, -1.0000001]
[0.4056301, -1.0]
[0.40505418, -0.99999994]
[0.40489614, -0.99999994]
[0.40544766, -1.0]
[0.40567127, -0.99999994]
[0.40541345, -1.0]
[0.40504825, -0.99999994]
[0.40483636, -1.0]
[0.40470564, -1.0]
[0.40468222, -0.99999994]
[0.40471488, -1.0]
[0.4043945, -1.0]
[0.40436047, -1.0]
[0.40432262, -1.0]
[0.404401, -0.99999994]
[0.40484068, -1.0]
[0.40524837, -1.0000001]
[0.40590233, -1.0]
[0.40568462, -1.0]
[0.40571195, -0.99999994]
[0.40689853, -0.99999994]
[0.40733773, -1.0]
[0.40711918, -1.0]
[0.40682995, -1.0000002]
[0.4064713, -1.0]
[0.40616283, -0.99999994]
[0.40561348, -1.0]
[0.40551752, -1.0]
[0.40645018, -1.0]
[0.40677652, -0.99999994]
[0.40610826, -0.99999994]
[0.40582553, -1.0]
[0.40596506, -0.99999994]
[0.4061253, -1.0]
[0.40610206, -1.0]
[0.40622538, -0.9999999]
[0.40678528, -1.0]
[0.40673596, -1.0]
[0.40669924, -0.99999994]
[0.40737137, -0.9999999]
[0.40748376, -1.0000001]
[0.40739512, -0.99999994]
[0.407251, -1.0]
[0.4069054, -1.0]
[0.40717867, -1.0]
[0.40666655, -1.0]
[0.40584663, -1.0]
[0.4059671, -1.0]
[0.405132, -1.0]
[0.40464577, -1.0]
[0.4049067, -1.0]
[0.40487605, -1.0]
[0.4055445, -1.0]
[0.40593278, -0.99999994]
[0.40630147, -1.0]
[0.40697703, -1.0]
[0.40694016, -1.0]
[0.4070083, -1.0]
[0.40766948, -1.0]
[0.40803555, -1.0]
[0.4077025, -1.0]
[0.40710178, -1.0]
[0.40717846, -1.0]
[0.40750515, -1.0]
[0.40750122, -0.9999999]
[0.40819493, -1.0000001]
[0.4085082, -1.0]
[0.407876, -1.0]
[0.40790415, -1.0]
[0.40755135, -0.99999994]
[0.4068052, -0.99999994]
[0.40698647, -1.0]
[0.40698683, -0.99999994]
[0.40727258, -0.99999994]
[0.40771824, -1.0]
[0.40758663, -1.0]
[0.4073916, -0.99999994]
[0.40650505, -1.0000002]
[0.40620664, -1.0]
[0.4062912, -1.0]
[0.4057861, -1.0]
[0.40593326, -1.0]
[0.405792, -1.0]
[0.40571007, -0.99999994]
[0.40584898, -1.0000001]
[0.40527338, -1.0000001]
[0.4050895, -0.9999998]
[0.40486005, -1.0000002]
[0.4046944, -0.9999998]
[0.4047675, -1.0000001]
[0.40500668, -0.99999994]
[0.40572485, -0.9999996]
[0.40544516, -1.0000011]
[0.4053892, -0.99999815]
[0.405505, -1.0000023]
[0.40521213, -0.999998]
[0.40592152, -1.0000012]
[0.40597504, -1.000001]
[0.40614086, -0.9999959]
[0.40678194, -1.0000076]
[0.40683043, -0.9999879]
[0.40714335, -1.0000169]
[0.4068879, -0.99997973]
[0.40730327, -0.9998355]
[0.40812665, -0.9998466]
[0.4074348, -0.9997295]
[0.4072776, -0.99950075]
[0.40736562, -0.9993849]
[0.40712357, -0.9989581]
[0.40703082, -0.9989244]
[0.40638566, -0.9990323]
[0.40584916, -0.9986626]
[0.4053046, -0.9988662]
[0.40505055, -0.9989636]
[0.40499145, -0.99876213]
[0.40485626, -0.9987515]
[0.40503085, -0.9984831]
[0.40477866, -0.9982854]
[0.40425566, -0.99820745]
[0.40399602, -0.9979295]
[0.4041393, -0.9976797]
[0.40414697, -0.99762785]
[0.40433776, -0.99759346]
[0.40473327, -0.9973694]
[0.40454888, -0.997404]
[0.4045964, -0.9976797]
[0.40482697, -0.99737954]
[0.4046533, -0.99751204]
[0.40439254, -0.9977327]
[0.40495637, -0.99741524]
[0.4057764, -0.9975332]
[0.40564275, -0.9974388]
[0.4054616, -0.9971068]
[0.40552366, -0.9967507]
[0.4054461, -0.9964707]
[0.40535596, -0.9962723]
[0.4053374, -0.9960656]
[0.40511754, -0.99583256]
[0.40461674, -0.99536043]
[0.40482917, -0.99508435]
[0.40486616, -0.9948782]
[0.40434238, -0.9947331]
[0.40433878, -0.9944469]
[0.404417, -0.9941859]
[0.40465477, -0.9940505]
[0.4046033, -0.9938537]
[0.40470493, -0.9938644]
[0.40523076, -0.99379677]
[0.40514466, -0.9935832]
[0.40509757, -0.9932382]
[0.40511924, -0.99296427]
[0.40593693, -0.99275947]
[0.4067421, -0.9923767]
[0.4062665, -0.99205935]
[0.4067755, -0.99197394]
[0.40742546, -0.9915749]
[0.40734988, -0.9911877]
[0.4073687, -0.99116445]
[0.4070354, -0.9909076]
[0.40675932, -0.99070585]
[0.40675098, -0.99041176]
[0.40726352, -0.99007875]
[0.40715057, -0.99006736]
[0.4062537, -0.9897555]
[0.40629843, -0.9893786]
[0.4066189, -0.9892967]
[0.40636912, -0.98916376]
[0.40646142, -0.98904896]
[0.40657076, -0.98893124]
[0.4068668, -0.98854053]
[0.40764692, -0.9880166]
[0.40747228, -0.9879298]
[0.40746287, -0.9877136]
[0.40729386, -0.9873917]
[0.40714154, -0.98723066]
[0.40805566, -0.98647004]
[0.40826836, -0.98633313]
[0.4085716, -0.9862957]
[0.40869826, -0.9858911]
[0.4081967, -0.9859915]
[0.40804744, -0.9856626]
[0.4078483, -0.98547]
[0.4077792, -0.9854467]
[0.4075438, -0.9853753]
[0.40716416, -0.9855043]
[0.4061505, -0.9853837]
[0.40510273, -0.9852921]
[0.40509766, -0.9852811]
[0.40473074, -0.98520285]
[0.40523124, -0.985221]
[0.40590507, -0.9852351]
[0.4051945, -0.98511684]
[0.4052008, -0.9851218]
[0.40525156, -0.98487365]
[0.40517282, -0.9847775]
[0.40541977, -0.9847997]
[0.40458542, -0.98451567]
[0.4043323, -0.98469436]
[0.40424296, -0.98455155]
[0.40309122, -0.9841765]
[0.40302926, -0.9841459]
[0.40311158, -0.98384327]
[0.4030828, -0.98382413]
[0.40331942, -0.9839004]
[0.40343267, -0.9837072]
[0.40366876, -0.9838741]
[0.40364957, -0.9839735]
[0.40384033, -0.98392445]
[0.4038232, -0.9838738]
[0.40416625, -0.98375106]
